,Date,Last Price
305,2009-05-05,33.36
306,2009-05-06,32.45
307,2009-05-07,33.44
308,2009-05-08,32.05
309,2009-05-11,32.87
310,2009-05-12,31.8
311,2009-05-13,33.65
312,2009-05-14,31.37
313,2009-05-15,33.12
314,2009-05-18,30.24
315,2009-05-19,28.8
316,2009-05-20,29.03
317,2009-05-21,31.35
318,2009-05-22,32.63
319,2009-05-26,30.62
320,2009-05-27,32.36
321,2009-05-28,31.67
322,2009-05-29,28.92
323,2009-06-01,30.04
324,2009-06-02,29.63
325,2009-06-03,31.02
326,2009-06-04,30.18
327,2009-06-05,29.62
328,2009-06-08,29.77
329,2009-06-09,28.27
330,2009-06-10,28.46
331,2009-06-11,28.11
332,2009-06-12,28.15
333,2009-06-15,30.81
334,2009-06-16,32.68
335,2009-06-17,31.54
336,2009-06-18,30.03
337,2009-06-19,27.99
338,2009-06-22,31.17
339,2009-06-23,30.58
340,2009-06-24,29.05
341,2009-06-25,26.36
342,2009-06-26,25.93
343,2009-06-29,25.35
344,2009-06-30,26.35
345,2009-07-01,26.22
346,2009-07-02,27.95
347,2009-07-06,29.0
348,2009-07-07,30.85
349,2009-07-08,31.3
350,2009-07-09,29.78
351,2009-07-10,29.02
352,2009-07-13,26.31
353,2009-07-14,25.02
354,2009-07-15,25.89
355,2009-07-16,25.42
356,2009-07-17,24.34
357,2009-07-20,24.4
358,2009-07-21,23.87
359,2009-07-22,23.47
360,2009-07-23,23.43
361,2009-07-24,23.09
362,2009-07-27,24.28
363,2009-07-28,25.01
364,2009-07-29,25.61
365,2009-07-30,25.4
366,2009-07-31,25.92
367,2009-08-03,25.56
368,2009-08-04,24.89
369,2009-08-05,24.9
370,2009-08-06,25.67
371,2009-08-07,24.76
372,2009-08-10,24.99
373,2009-08-11,25.99
374,2009-08-12,25.45
375,2009-08-13,24.71
376,2009-08-14,24.27
377,2009-08-17,27.89
378,2009-08-18,26.18
379,2009-08-19,26.26
380,2009-08-20,25.09
381,2009-08-21,25.01
382,2009-08-24,25.14
383,2009-08-25,24.92
384,2009-08-26,24.95
385,2009-08-27,24.68
386,2009-08-28,24.76
387,2009-08-31,26.01
388,2009-09-01,29.15
389,2009-09-02,28.9
390,2009-09-03,27.1
391,2009-09-04,25.26
392,2009-09-08,25.62
393,2009-09-09,24.32
394,2009-09-10,23.55
395,2009-09-11,24.15
396,2009-09-14,23.86
397,2009-09-15,23.42
398,2009-09-16,23.69
399,2009-09-17,23.65
400,2009-09-18,23.92
401,2009-09-21,24.06
402,2009-09-22,23.08
403,2009-09-23,23.49
404,2009-09-24,24.95
405,2009-09-25,25.61
406,2009-09-28,24.88
407,2009-09-29,25.19
408,2009-09-30,25.61
409,2009-10-01,28.27
410,2009-10-02,28.68
411,2009-10-05,26.84
412,2009-10-06,25.7
413,2009-10-07,24.68
414,2009-10-08,24.18
415,2009-10-09,23.12
416,2009-10-12,23.01
417,2009-10-13,22.99
418,2009-10-14,22.86
419,2009-10-15,21.72
420,2009-10-16,21.43
421,2009-10-19,21.49
422,2009-10-20,20.9
423,2009-10-21,22.22
424,2009-10-22,20.69
425,2009-10-23,22.27
426,2009-10-26,24.31
427,2009-10-27,24.83
428,2009-10-28,27.91
429,2009-10-29,24.76
430,2009-10-30,30.69
431,2009-11-02,29.78
432,2009-11-03,28.81
433,2009-11-04,27.72
434,2009-11-05,25.43
435,2009-11-06,24.19
436,2009-11-09,23.15
437,2009-11-10,22.84
438,2009-11-11,23.04
439,2009-11-12,24.24
440,2009-11-13,23.36
441,2009-11-16,22.89
442,2009-11-17,22.41
443,2009-11-18,21.63
444,2009-11-19,22.63
445,2009-11-20,22.19
446,2009-11-23,21.16
447,2009-11-24,20.47
448,2009-11-25,20.48
449,2009-11-27,24.74
450,2009-11-30,24.51
451,2009-12-01,21.92
452,2009-12-02,21.12
453,2009-12-03,22.46
454,2009-12-04,21.25
455,2009-12-07,22.1
456,2009-12-08,23.69
